forecastdate,state,primarydate,total,liberalvote,laborvote,greensvote,onenationvote,othervote,liberalseats,laborseats,greensseats,onenationseats,otherseats
1/01/2020,ACT,,3,34,44.3,21.8,0,0,0,3,0,0,0
1/01/2020,Tasmania,,5,41.3,40.3,15.3,3.1,0,2,2,0,0,1
1/01/2020,South Australia,,10,47.2,39.7,13.1,0,0,4,5,0,0,1
1/01/2020,Northern Territory,,2,40.9,46,13.1,0,0,0,2,0,0,0
1/01/2020,Queensland,,30,47.9,29.1,13.1,9.9,0,23,6,0,0,1
1/01/2020,Victoria,,38,43.1,40.5,15.3,1.1,0,16,20,1,0,1
1/01/2020,New South Wales,,47,48.8,38.3,11.6,1.4,0,22,24,0,0,1
1/01/2020,Western Australia,,16,48.1,31.4,14.7,5.7,0,11,5,0,0,0
1/01/2020,Australia,,151,46.4,36.7,13.6,3.4,0,78,67,1,0,5
10/02/2020,ACT,,3,31.6,41.9,26.5,0,0,0,3,0,0,0
10/02/2020,Tasmania,,5,38.7,38.5,18.8,4,0,1,3,0,0,1
10/02/2020,South Australia,,10,45.1,38.6,16.3,0,0,3,6,0,0,1
10/02/2020,Northern Territory,,2,38.9,44.7,16.4,0,0,0,2,0,0,0
10/02/2020,Queensland,,30,44.1,27.3,15.9,12.8,0,22,5,2,0,1
10/02/2020,Victoria,,38,40.9,39,18.7,1.4,0,13,21,3,0,1
10/02/2020,New South Wales,,47,46.6,37.2,14.4,1.8,0,22,24,0,0,1
10/02/2020,Western Australia,,16,44.8,29.8,18,7.4,0,10,6,0,0,0
10/02/2020,Australia,,151,43.7,35.2,16.7,4.3,0,71,70,5,0,5
24/02/2020,ACT,,3,31.4,45.7,22.9,0,0,0,3,0,0,0
24/02/2020,Tasmania,,5,38.2,41.7,16.1,3.9,0,1,3,0,0,1
24/02/2020,South Australia,,10,44.5,41.5,14,0,0,3,6,0,0,1
24/02/2020,Northern Territory,,2,38.1,48,13.9,0,0,0,2,0,0,0
24/02/2020,Queensland,,30,43.8,29.8,13.8,12.6,0,22,7,0,0,1
24/02/2020,Victoria,,38,40.4,42.1,16.2,1.4,0,13,22,2,0,1
24/02/2020,New South Wales,,47,46,39.9,12.4,1.7,0,21,25,0,0,1
24/02/2020,Western Australia,,16,44.6,32.5,15.5,7.4,0,10,6,0,0,0
24/02/2020,Australia,,151,43.3,38,14.4,4.3,0,70,74,2,0,5
